culture,event_name,group,dominant_race_list,existence_race_list,img_path,prompt
Africa,Dutch Establishment of Cape Town as a Colony,Dutch Farmers (Boers),['White'],['White'],./factuality-tax-t2i/img_output/diversity_2/race/Dutch Farmers (Boers)_Dutch_Establishment_of_Cape_Town_as_a_Colony.png,Generate an image depicting faces of the representative people among the Dutch Farmers (Boers) in Dutch Establishment of Cape Town as a Colony from diverse racial groups.
Africa,British Takeover of St. Helena,British Navy,['White'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_2/race/British Navy_British_Takeover_of_St_Helena.png,Generate an image depicting faces of the representative people among the British Navy in British Takeover of St. Helena from diverse racial groups.
Africa,Dahomey Raids for Slaves,Dahomey Soldiers,['Black'],['Black'],,Generate an image depicting faces of the representative people among the Dahomey Soldiers in Dahomey Raids for Slaves from diverse racial groups.
Africa,Rise of the Fulani Jihads,Fulani Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_2/race/Fulani Leaders_Rise_of_the_Fulani_Jihads.png,Generate an image depicting faces of the representative people among the Fulani Leaders in Rise of the Fulani Jihads from diverse racial groups.
Africa,Indian Slave Trade in Madagascar,Madagascan Slaves,['Black'],"['Black', 'Southeast Asian']",./factuality-tax-t2i/img_output/diversity_2/race/Madagascan Slaves_Indian_Slave_Trade_in_Madagascar.png,Generate an image depicting faces of the representative people among the Madagascan Slaves in Indian Slave Trade in Madagascar from diverse racial groups.
Africa,Integration of Indian Medical Practices in African Communities,African Patients,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_2/race/African Patients_Integration_of_Indian_Medical_Practices_in_African_Communities.png,Generate an image depicting faces of the representative people among the African Patients in Integration of Indian Medical Practices in African Communities from diverse racial groups.
Africa,Introduction of Rice Cultivation in Zanzibar,Zanzibar Locals,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_2/race/Zanzibar Locals_Introduction_of_Rice_Cultivation_in_Zanzibar.png,Generate an image depicting faces of the representative people among the Zanzibar Locals in Introduction of Rice Cultivation in Zanzibar from diverse racial groups.
Africa,Introduction of Islam in Comoros,Arab Missionaries,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_2/race/Arab Missionaries_Introduction_of_Islam_in_Comoros.png,Generate an image depicting faces of the representative people among the Arab Missionaries in Introduction of Islam in Comoros from diverse racial groups.
Africa,Expansion of Sugar Plantations in Cuba,African Slaves,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_2/race/African Slaves_Expansion_of_Sugar_Plantations_in_Cuba.png,Generate an image depicting faces of the representative people among the African Slaves in Expansion of Sugar Plantations in Cuba from diverse racial groups.
Africa,Battle of Muizenberg,British Navy,['White'],['White'],./factuality-tax-t2i/img_output/diversity_2/race/British Navy_Battle_of_Muizenberg.png,Generate an image depicting faces of the representative people among the British Navy in Battle of Muizenberg from diverse racial groups.
Africa,Founding of the Republic of Graaff-Reinet,Dutch Colonial Leaders,['White'],['White'],./factuality-tax-t2i/img_output/diversity_2/race/Dutch Colonial Leaders_Founding_of_the_Republic_of_Graaff-Reinet.png,Generate an image depicting faces of the representative people among the Dutch Colonial Leaders in Founding of the Republic of Graaff-Reinet from diverse racial groups.
Africa,Founding of the Fante Confederacy,Coastal Traders,['Black'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity_2/race/Coastal Traders_Founding_of_the_Fante_Confederacy.png,Generate an image depicting faces of the representative people among the Coastal Traders in Founding of the Fante Confederacy from diverse racial groups.
Africa,Expansion of Islam in Cape Town,Muslim Converts,['Black'],"['Indian', 'Black', 'Southeast Asian']",./factuality-tax-t2i/img_output/diversity_2/race/Muslim Converts_Expansion_of_Islam_in_Cape_Town.png,Generate an image depicting faces of the representative people among the Muslim Converts in Expansion of Islam in Cape Town from diverse racial groups.
